,mean,std
244,-0.15614447,0.08175687
245,-0.16572349,0.07585223
246,-0.16298561,0.07733639
247,-0.16935535,0.07911134
248,-0.16569749,0.08665452
249,-0.17686218,0.082656145
250,-0.18266812,0.085698746
251,-0.17857835,0.08391166
252,-0.18262371,0.08442325
253,-0.18873633,0.08534715
254,-0.19221313,0.0894025
255,-0.19314483,0.08652312
256,-0.19846183,0.08365765
257,-0.20790562,0.092076406
258,-0.2000573,0.09329665
259,-0.20421031,0.096729614
260,-0.20657793,0.092969276
261,-0.20804822,0.09277561
262,-0.21726081,0.09552774
263,-0.21357238,0.099600114
264,-0.2104108,0.101005465
265,-0.2221152,0.09656306
266,-0.2190727,0.09624269
267,-0.23367205,0.094477504
268,-0.22883311,0.10397892
269,-0.2302113,0.096005544
270,-0.23098281,0.1004219
271,-0.23126745,0.098852806
272,-0.24097268,0.102219135
273,-0.24011247,0.10503202
274,-0.2432175,0.11119397
275,-0.24419901,0.10962919
276,-0.24704054,0.10323647
277,-0.24257779,0.10667194
278,-0.25075826,0.10647971
279,-0.25242683,0.11190852
280,-0.2570452,0.10208647
281,-0.25763392,0.10845966
282,-0.24786535,0.10172168
283,-0.2615041,0.10097374
284,-0.25987503,0.11252384
285,-0.26381224,0.10861838
286,-0.26237142,0.11401652
287,-0.25980532,0.10868088
288,-0.26080287,0.111277
289,-0.26668304,0.112890266
290,-0.266228,0.11437463
291,-0.2610523,0.115040354
292,-0.26953512,0.11013007
293,-0.26763636,0.11318959
294,-0.27039066,0.114606425
295,-0.26407543,0.117643625
296,-0.26640767,0.121555336
297,-0.27258828,0.11657318
298,-0.26846236,0.11298538
299,-0.27154547,0.118521355
300,-0.27339607,0.11874049
301,-0.27231082,0.11290774
302,-0.27455574,0.120353274
303,-0.27545863,0.11763917
304,-0.26702407,0.11659885
305,-0.27711445,0.118546814
306,-0.27414373,0.119268075
307,-0.27318877,0.11991515
308,-0.27064046,0.12063567
309,-0.2705813,0.118626975
310,-0.27598694,0.123403534
311,-0.27385142,0.11733248
312,-0.2717609,0.1190404
313,-0.27235225,0.11738243
314,-0.2671862,0.12123102
315,-0.26771486,0.12629567
316,-0.2653607,0.12650953
317,-0.2671041,0.12002865
318,-0.26857042,0.11596585
319,-0.271497,0.12157937
320,-0.27136195,0.11915803
321,-0.26445094,0.122451805
322,-0.25976086,0.12254534
323,-0.26951385,0.12128568
324,-0.25932506,0.120522976
325,-0.25464466,0.12298461
326,-0.2591414,0.12588175
327,-0.26259732,0.12096237
328,-0.25645405,0.11793167
329,-0.2574617,0.11956734
330,-0.2548099,0.12504898
331,-0.24909894,0.12756489
332,-0.25067633,0.12293879
333,-0.25200906,0.12377336
334,-0.25194904,0.1183051
335,-0.24864027,0.12316259
336,-0.24733262,0.122134805
337,-0.24345472,0.12291007
338,-0.24165437,0.11574555
339,-0.23822725,0.121547006
340,-0.2385054,0.123536184
341,-0.23784694,0.11802543
342,-0.23472512,0.119736925
343,-0.23375559,0.11651206
344,-0.2267516,0.124506444
345,-0.22501972,0.11924856
346,-0.2229389,0.11720663
347,-0.22604892,0.12188012
348,-0.21796584,0.11578706
349,-0.21931562,0.12306772
350,-0.21294546,0.115514986
351,-0.21109548,0.109337
352,-0.20634484,0.119612984
353,-0.20794275,0.11832385
354,-0.20341201,0.11496229
355,-0.200754,0.11314888
356,-0.20317821,0.11646233
357,-0.18879268,0.11885039
358,-0.19412753,0.11657541
359,-0.19101714,0.11828923
360,-0.18736202,0.1121194
361,-0.18443513,0.11625044
362,-0.18134734,0.11584764
363,-0.17965138,0.115292884
364,-0.16985852,0.113539554
365,-0.16814111,0.1132904
366,-0.16950467,0.113347486
367,-0.16614334,0.11668927
368,-0.16203645,0.11354888
369,-0.15553471,0.10872681
370,-0.15094416,0.11157499
371,-0.14776847,0.110587195
372,-0.145857,0.11688717
373,-0.14143744,0.11315168
374,-0.14050008,0.114875294
375,-0.13966969,0.10904658
376,-0.1356594,0.11192901
377,-0.12797302,0.122227274
378,-0.12941034,0.11290325
379,-0.124973044,0.11196621
380,-0.11736623,0.10964157
381,-0.115641735,0.111213066
382,-0.109840825,0.11355776
383,-0.1079189,0.113467395
384,-0.10802217,0.113154285
385,-0.0936961,0.10989491
386,-0.09475361,0.11090417
387,-0.09203738,0.11199054
388,-0.08947159,0.11088499
389,-0.08067768,0.11011603
390,-0.0795242,0.108585805
391,-0.0758103,0.112234354
392,-0.071725436,0.10625737
393,-0.06926657,0.1140939
394,-0.06821544,0.112125464
395,-0.06144444,0.10825127
396,-0.06376282,0.10997247
397,-0.05654314,0.108464405
398,-0.05047952,0.10746259
399,-0.04960825,0.105456114
400,-0.04445217,0.10368142
401,-0.037385963,0.11111136
402,-0.03677778,0.11096797
403,-0.026279766,0.10096593
404,-0.025269458,0.10120172
405,-0.021333657,0.107611254
406,-0.016031902,0.107646406
407,-0.014159007,0.11262287
408,-0.011517962,0.108114876
409,-0.0030941262,0.10066862
410,-0.0012488619,0.10498272
411,-1.0246038e-05,0.09959004
412,0.0032547072,0.108085774
413,0.011164491,0.10403126
414,0.014491905,0.10069222
415,0.012289544,0.104350545
416,0.031033903,0.11324203
417,0.02568676,0.10327954
418,0.029471666,0.11339578
419,0.030203262,0.10307093
420,0.039868124,0.10535989
421,0.040908355,0.11018723
422,0.04604041,0.10458215
423,0.051449627,0.108660944
424,0.051059008,0.10764798
425,0.053580116,0.104589015
426,0.058811523,0.10794351
427,0.06518298,0.10610467
428,0.070998535,0.10192352
429,0.07606258,0.10498551
430,0.07967339,0.10399625
431,0.0779865,0.112037115
432,0.083442226,0.103484325
433,0.08410632,0.11155479
434,0.09229334,0.10489497
435,0.09577872,0.10629792
436,0.09962244,0.10499142
437,0.10022714,0.10155987
438,0.10571446,0.10184757
439,0.11294613,0.111208394
440,0.10738077,0.10286685
441,0.12064485,0.10966502
442,0.120062575,0.10222182
443,0.122713506,0.10319512
444,0.12425095,0.11259801
445,0.12931423,0.10610356
446,0.12962633,0.11127825
447,0.1355861,0.10453654
448,0.13695005,0.10915589
449,0.13959113,0.11152516
450,0.14580218,0.10927723
451,0.14604005,0.10824256
452,0.14876679,0.10708554
453,0.15754344,0.10166412
454,0.16361775,0.112851106
455,0.16712129,0.115784705
456,0.16353847,0.1151565
457,0.17234549,0.11066176
458,0.17043374,0.11412161
459,0.17364506,0.105641715
460,0.17425679,0.108221024
461,0.18014649,0.111489356
462,0.1852642,0.113141775
463,0.18665417,0.1096255
464,0.18702874,0.11127502
465,0.18351318,0.114158496
466,0.19068737,0.11265751
467,0.19534472,0.11784881
468,0.19640735,0.1111679
469,0.19555566,0.110010065
470,0.2093359,0.10984562
471,0.20103593,0.11812197
472,0.2057085,0.11457952
473,0.20883699,0.11632219
474,0.21277745,0.11695571
475,0.21208677,0.12071081
476,0.2171169,0.1184487
477,0.21765788,0.112401806
478,0.21805115,0.109856285
479,0.22514585,0.113751434
480,0.22206335,0.11165705
481,0.22676238,0.11377855
482,0.22695413,0.119158976
483,0.22604275,0.112411335
